job_title,job_date,job_views
['广元市“广纳英才·元来有你”引才月主题宣讲活动'],['2022-12-30 09:30'],['306']
['牧原2023春节招聘-西安电子科技大学'],['2022-12-29 16:53'],['251']
['蓝月亮2023实习生招聘全面开启'],['2022-12-29 16:45'],['206']
['联咏电子科技（西安）有限公司校招补录-软件-双休'],['2022-12-29 15:27'],['270']
['一汽解放商用车开发院2023年校园招聘启事'],['2022-12-29 15:26'],['215']
['国营长虹机械厂 中国人民解放军第五七一八工厂2023届秋季校园招聘'],['2022-12-29 14:37'],['242']
['淮阴师范学院2022年诚聘海内外人才'],['2022-12-29 13:18'],['118']
['2023年春季在陕知名高校毕业研究生双选会（陕西21校联合）（预公告）'],['2022-12-29 09:12'],['140']
['北京逐风科技有限公司'],['2022-12-28 17:57'],['119']
['2023年春季全国博士、博士后、高级人才巡回签约洽谈会-西安站（预公告）'],['2022-12-28 15:50'],['101']
['泉州轻工职业学院2023年春季招聘计划'],['2022-12-28 14:14'],['89']
['先临三维科技股份有限公司2023校园招聘'],['2022-12-28 14:03'],['103']
['一汽解放汽车有限公司2023年秋季校园招聘启事'],['2022-12-28 13:03'],['193']
['北京麦邦光电仪器有限公司诚聘2023届优秀毕业生'],['2022-12-28 11:58'],['103']
['中国建筑第八工程局有限公司西北分公司'],['2022-12-28 11:51'],['92']
['格力电器2023届春季校园招聘提前批正式启动'],['2022-12-28 11:18'],['199']
['曲阜师范大学2022年公开招聘工作人员简章'],['2022-12-28 10:33'],['83']
['太原重型机械集团有限公司 2023年校园招聘公告（西安电子科技大学）'],['2022-12-28 10:32'],['98']
['河池学院2022年人才招聘公告'],['2022-12-27 19:58'],['88']
['中建三局绿色产业投资有限公司'],['2022-12-27 16:36'],['40']
['三旺通信集团2023届储备干事校园招聘'],['2022-12-27 15:35'],['36']
['一汽解放商用车开发院2023年校园招聘启事'],['2022-12-27 13:48'],['27']
['江西科技学院理学教学部招聘专职教师'],['2022-12-27 12:23'],['26']
['清华大学天津高端装备研究院招聘公告'],['2022-12-27 10:20'],['99']
['2023届校招简章-浙江中控信息产业股份有限公司'],['2022-12-27 09:26'],['30']
['锐捷网络研后专场宣讲会'],['2022-12-27 08:52'],['33']
['内蒙动力机械研究所校园招聘'],['2022-12-27 08:50'],['28']
['中建筑港集团有限公司'],['2022-12-27 08:42'],['25']
['北京逐风科技有限公司'],['2022-12-26 16:57'],['26']
['济宁医学院2022年招聘人才及青年博士公告'],['2022-12-26 15:04'],['19']
['海南医学院2022年博士及高级职称人才公开招聘公告'],['2022-12-26 15:03'],['20']
['石家庄科林电气股份有限公司2023届校园招聘'],['2022-12-26 14:29'],['23']
['滨州医学院人才招聘公告'],['2022-12-26 13:39'],['19']
['东北电力大学2022年人才招聘简章'],['2022-12-26 11:20'],['18']
['中建三局安装工程有限公司'],['2022-12-26 11:09'],['19']
['中国刑事警察学院2023年度博士人才招录公告'],['2022-12-26 11:01'],['19']
['陕西东北地区高校2023届毕业生洛阳市重点风口产业云聘会邀请函'],['2022-12-26 10:53'],['25']
['北方华创微电子2023届秋季校园招聘'],['2022-12-26 09:30'],['33']
['【上市公司】四川英杰电气股份有限公司招聘公告'],['2022-12-26 09:16'],['19']
['宜善互联网医院2023年校园招聘简章（开发工程师、智能研发、产品运营、短视频运营、医学影视助理、市场开发、董办秘书）'],['2022-12-25 18:47'],['23']
['燕山大学2022年诚聘海内外优秀人才'],['2022-12-25 15:47'],['22']
['国防科技大学计算机学院人才引进政策和计划'],['2022-12-25 13:25'],['76']
['南宁师范大学人才招聘公告'],['2022-12-25 11:18'],['18']
['西安欧亚学院2023年教师校园招聘'],['2022-12-24 23:57'],['75']
['广西电力职业技术学院2022年博士人才专项招聘公告'],['2022-12-24 17:56'],['20']
['国防科技大学气象海洋学院面向海内外诚聘博士后'],['2022-12-24 17:55'],['21']
['汉航（北京）科技有限公司招聘进行中'],['2022-12-24 17:41'],['28']
['山西工学院2022年公开招聘博士研究生公告'],['2022-12-24 15:46'],['19']
['电子科技大学长三角研究院（衢州）2022-2023年度博士人才引进公告'],['2022-12-24 15:10'],['23']
['广东科技学院2022年公开招聘博士研究生公告诚邀您的加盟！'],['2022-12-24 13:22'],['20']
['电子科技大学重庆微电子产业技术研究院人才招聘公告'],['2022-12-23 23:39'],['25']
['井冈山大学2022年人才招聘公告'],['2022-12-23 11:58'],['22']
['福建省烟草专卖局（公司） 2023年管理岗位招聘（第一批）启事'],['2022-12-23 11:51'],['88']
['（浙江）丽水学院2022年人才招聘信息'],['2022-12-23 10:52'],['19']
['中国科学院光电技术研究所2022年度博士后招聘公告'],['2022-12-23 10:34'],['20']
['广州大学2022年诚聘海内外人才公告'],['2022-12-22 17:45'],['173']
['中山大学集成电路学院面向全球公开招聘人才'],['2022-12-22 17:44'],['171']
['北京世纪好未来教育科技有限公司'],['2022-12-22 17:37'],['164']
['中国科学院广州能源研究所'],['2022-12-22 17:14'],['184']
['广西中医药大学2022年引进领军人才及113名博士公告'],['2022-12-22 16:23'],['121']
['右江民族医学院2022年诚聘英才公告'],['2022-12-22 16:23'],['114']
['厦门亿联网络（Yealink）技术股份有限公司 2023届校园招聘简章'],['2022-12-22 16:13'],['166']
['枣庄学院2022年人才招聘启事（12月更新）'],['2022-12-22 16:13'],['98']
['中国科学院深海科学与工程研究所2022年秋季招聘启事'],['2022-12-22 15:31'],['123']
['《镭赋青春，智启未来》衡阳镭目科技2023届校园重磅来袭！'],['2022-12-22 14:33'],['97']
['郑州宇通集团有限公司'],['2022-12-22 14:02'],['133']
['天津仁爱学院2022年专任教师招聘'],['2022-12-22 10:38'],['74']
['中建三局绿色产业投资有限公司'],['2022-12-22 10:26'],['115']
['智时代·赢未来 潍柴动力第六届博士开放日线上推介会招聘简章'],['2022-12-22 10:15'],['77']
['广西中烟工业有限责任公司2023年招聘启事'],['2022-12-22 09:45'],['125']
['2022年长安银行人才招聘公告'],['2022-12-22 09:29'],['154']
['长春大学2022年公开招聘人才公告（3号）'],['2022-12-21 20:00'],['87']
['内蒙古伊利实业集团股份有限公司液态奶事业部2023年校园招聘'],['2022-12-21 19:37'],['89']
['宜善互联网医院2023年校园招聘简章'],['2022-12-21 18:39'],['104']
['北京逐风科技有限公司'],['2022-12-21 17:44'],['106']
['国防科技大学信息通信学院人才引进招聘公告'],['2022-12-21 17:13'],['102']
['北京长亭未来科技有限公司2023届校招岗位发布'],['2022-12-21 17:09'],['98']
['吉首大学张家界学院2023年教师招聘公告'],['2022-12-21 14:40'],['55']
['徐州工程学院人才引进政策及计划'],['2022-12-21 13:36'],['58']
['南京晓庄学院2022年公开招聘人才公告'],['2022-12-21 11:51'],['55']
['先临三维科技股份有限公司2023校园招聘'],['2022-12-21 10:12'],['85']
['青岛理工大学临沂校区2022年诚聘海内外英才（长期招聘）'],['2022-12-21 10:07'],['57']
['三旺通信集团23届储备干事校园招聘'],['2022-12-21 09:51'],['109']
